object,condition,seed,parameter,gt,estimate,signed_error,abs_error,abs_error_percent,l2,relative_residual,regressor_condition_number,frames
hammer,D_record_wrench,10,iyz,8.79648952450325e-10,-4.487233451225146e-05,-4.487321416120391e-05,4.487321416120391e-05,5101263.866251004,0.00218702447650871,0.011421115521861277,41.28225961886123,600
hammer,D_record_wrench,10,izx,-1.0880179826158104e-09,-8.105882259302097e-05,-8.105773457503835e-05,8.105773457503835e-05,7450036.292613429,0.00218702447650871,0.011421115521861277,41.28225961886123,600
hammer,E_all,1,mass,1.11609903217039,1.1219905754542328,0.005891543283842671,0.005891543283842671,0.5278692225353739,0.06111756241639228,0.0664093591427687,253.01596066091776,600
hammer,E_all,1,mx,5.463067398699198e-09,-2.7237584132412166e-05,-2.7243047199810866e-05,2.7243047199810866e-05,498676.7544968906,0.06111756241639228,0.0664093591427687,253.01596066091776,600
hammer,E_all,1,my,-5.371818220316982e-09,-1.9836069851986504e-05,-1.9830698033766187e-05,1.9830698033766187e-05,369161.7478559431,0.06111756241639228,0.0664093591427687,253.01596066091776,600
hammer,E_all,1,mz,0.17029925270232096,0.15992649974353396,-0.010372752958787007,0.010372752958787007,6.090897519625839,0.06111756241639228,0.0664093591427687,253.01596066091776,600
hammer,E_all,1,ixx,0.03294963581767361,0.05611264472796533,0.023163008910291723,0.023163008910291723,70.29822435205033,0.06111756241639228,0.0664093591427687,253.01596066091776,600
hammer,E_all,1,iyy,0.032218969073453105,-0.016585901921797614,-0.048804870995250715,0.048804870995250715,151.47868600011662,0.06111756241639228,0.0664093591427687,253.01596066091776,600
hammer,E_all,1,izz,0.0010008013920130541,-0.0009279493365413217,-0.0019287507285543758,0.0019287507285543758,192.7206280833408,0.06111756241639228,0.0664093591427687,253.01596066091776,600
hammer,E_all,1,ixy,-4.736694527039731e-12,-0.020115384409289772,-0.02011538440455308,0.02011538440455308,424671346014.0419,0.06111756241639228,0.0664093591427687,253.01596066091776,600
hammer,E_all,1,iyz,8.79648952450325e-10,-0.00022895152341654394,-0.00022895240306549638,0.00022895240306549638,26027701.440186236,0.06111756241639228,0.0664093591427687,253.01596066091776,600
hammer,E_all,1,izx,-1.0880179826158104e-09,0.016315923988788474,0.016315925076806456,0.016315925076806456,1499600681.008943,0.06111756241639228,0.0664093591427687,253.01596066091776,600
hammer,E_all,2,mass,1.11609903217039,1.121993153132738,0.005894120962347982,0.005894120962347982,0.5281001768172979,0.06362452342501085,0.06561348098571311,253.41732709982605,600
hammer,E_all,2,mx,5.463067398699198e-09,-1.8487414612742293e-05,-1.8492877680140993e-05,1.8492877680140993e-05,338507.2218685111,0.06362452342501085,0.06561348098571311,253.41732709982605,600
hammer,E_all,2,my,-5.371818220316982e-09,-3.673029870341604e-05,-3.672492688519573e-05,3.672492688519573e-05,683659.1518733233,0.06362452342501085,0.06561348098571311,253.41732709982605,600
hammer,E_all,2,mz,0.17029925270232096,0.167790825945732,-0.002508426756588966,0.002508426756588966,1.4729522982544359,0.06362452342501085,0.06561348098571311,253.41732709982605,600
hammer,E_all,2,ixx,0.03294963581767361,0.05704966442155276,0.02410002860387915,0.02410002860387915,73.14201813105417,0.06362452342501085,0.06561348098571311,253.41732709982605,600
hammer,E_all,2,iyy,0.032218969073453105,-0.020493920284554084,-0.05271288935800719,0.05271288935800719,163.60824344761576,0.06362452342501085,0.06561348098571311,253.41732709982605,600
hammer,E_all,2,izz,0.0010008013920130541,-0.0007255227842436542,-0.0017263241762567084,0.0017263241762567084,172.49418216578488,0.06362452342501085,0.06561348098571311,253.41732709982605,600
hammer,E_all,2,ixy,-4.736694527039731e-12,-0.01969723168331336,-0.019697231678576666,0.019697231678576666,415843402316.39874,0.06362452342501085,0.06561348098571311,253.41732709982605,600
hammer,E_all,2,iyz,8.79648952450325e-10,-0.00023005711666912603,-0.00023005799631807848,0.00023005799631807848,26153387.17533119,0.06362452342501085,0.06561348098571311,253.41732709982605,600
hammer,E_all,2,izx,-1.0880179826158104e-09,0.016017841551394768,0.01601784263941275,0.01601784263941275,1472203850.9788861,0.06362452342501085,0.06561348098571311,253.41732709982605,600
hammer,E_all,3,mass,1.11609903217039,1.1220460175511349,0.005946985380744785,0.005946985380744785,0.5328367115577682,0.0666477901713791,0.06520234320470013,252.39332383854924,600
hammer,E_all,3,mx,5.463067398699198e-09,-4.047343268030009e-05,-4.047889574769879e-05,4.047889574769879e-05,740955.452194076,0.0666477901713791,0.06520234320470013,252.39332383854924,600
hammer,E_all,3,my,-5.371818220316982e-09,-3.6216981166633944e-06,-3.6163262984430773e-06,3.6163262984430773e-06,67320.34015532424,0.0666477901713791,0.06520234320470013,252.39332383854924,600
hammer,E_all,3,mz,0.17029925270232096,0.15878934264407044,-0.011509910058250528,0.011509910058250528,6.758638030179484,0.0666477901713791,0.06520234320470013,252.39332383854924,600
hammer,E_all,3,ixx,0.03294963581767361,0.06178440417813241,0.028834768360458805,0.028834768360458805,87.51164510592963,0.0666477901713791,0.06520234320470013,252.39332383854924,600
hammer,E_all,3,iyy,0.032218969073453105,-0.019624943592163692,-0.0518439126656168,0.0518439126656168,160.91114693155626,0.0666477901713791,0.06520234320470013,252.39332383854924,600
hammer,E_all,3,izz,0.0010008013920130541,-0.0008652381862142154,-0.0018660395782272696,0.0018660395782272696,186.45453464786243,0.0666477901713791,0.06520234320470013,252.39332383854924,600
hammer,E_all,3,ixy,-4.736694527039731e-12,-0.022467063717592845,-0.02246706371285615,0.02246706371285615,474319455996.1899,0.0666477901713791,0.06520234320470013,252.39332383854924,600
hammer,E_all,3,iyz,8.79648952450325e-10,-5.807756860104434e-07,-5.816553349628938e-07,5.816553349628938e-07,66123.57501735791,0.0666477901713791,0.06520234320470013,252.39332383854924,600
