frame,source_index,time_s,qpos_J1_m,qpos_J2_m,qpos_J3_m,qpos_J4_rad,qpos_J5_rad,qpos_J6_rad,qvel_J1_ms,qvel_J2_ms,qvel_J3_ms,qvel_J4_rads,qvel_J5_rads,qvel_J6_rads,qacc_J1_ms2,qacc_J2_ms2,qacc_J3_ms2,qacc_J4_rads2,qacc_J5_rads2,qacc_J6_rads2
49,98,1.633333,-0.000242319858206,0.000967463403502,-0.000664659062551,-0.00223889738315,-0.00590682700466,0.00079743160891,-0.0100115331686,-0.000285717763698,0.000943973759192,-0.0136890274728,-0.0119163871519,-0.00855948437036,-0.0460238888213,-0.0179667031508,0.00587183612808,-0.0492299069368,0.00356831646408,-0.0520119568172
50,100,1.666667,-0.000602609966415,0.000947670743345,-0.000629918644512,-0.00272380826822,-0.00630231749162,0.00048222795358,-0.0115801932394,-0.000906489556103,0.00113524777773,-0.0153688361356,-0.0117618142762,-0.0103328382458,-0.0478831031177,-0.0191563921386,0.00556088123637,-0.0513317499311,0.00566631769689,-0.0540991801977
51,102,1.700000,-0.00101624894185,0.000906559423117,-0.000588992967225,-0.00326590962314,-0.00669150639258,0.000106780310521,-0.0132051923297,-0.00156046869282,0.00131362380331,-0.0171126164114,-0.0115398417182,-0.0121640824727,-0.0493941484588,-0.0199441537999,0.00509775094797,-0.0530526245842,0.00759912522945,-0.0554647207271
52,104,1.733333,-0.00148491910255,0.00084325763711,-0.000542399092379,-0.0038671149053,-0.00707224239591,-0.000330425758267,-0.0148744896381,-0.00223307797078,0.00147388077694,-0.0189067409494,-0.0112566105146,-0.0140276784132,-0.0505330204683,-0.0202610667362,0.00447435414154,-0.0543385974113,0.00932987066942,-0.056023658098
53,106,1.766667,-0.00200988837627,0.000757418200268,-0.000490832571843,-0.00452885300657,-0.00744259908829,-0.000830006395251,-0.0165753349615,-0.00290748736279,0.00161055890278,-0.0207358280075,-0.0109194291683,-0.0158954121972,-0.0512812784644,-0.0200413631331,0.00368452344839,-0.0551386786235,0.0108256140356,-0.0557010246303
54,108,1.800000,-0.00259198976277,0.000649291724755,-0.000435174300695,-0.00525201149993,-0.00780091161292,-0.0013915960659,-0.0182944585095,-0.00356474494793,0.00171802797189,-0.0225828561726,-0.0105366307078,-0.0177367622673,-0.05162626471,-0.0192239662776,0.00272425717005,-0.0554058037969,0.0120580326537,-0.0544338943862
55,110,1.833333,-0.00323160722989,0.000519794567055,-0.000376494957925,-0.00603688425987,-0.00814580819011,-0.00201377758741,-0.0200182656898,-0.00418395920964,0.00179056341717,-0.024429311489,-0.0101174084711,-0.0195193342499,-0.0515611823932,-0.0177540250109,0.00159193960515,-0.05509779043,0.0130040043341,-0.0521733190113
56,112,1.866667,-0.00392866813028,0.000370569837747,-0.000316056789633,-0.00688312452128,-0.00847623585119,-0.00269402772134,-0.0217330321103,-0.0047425320986,0.00182242929447,-0.0262553658578,-0.00967163436687,-0.021209357254,-0.0510850306143,-0.0155844150235,0.000288534789394,-0.0541782516405,0.0136460717961,-0.0488860637934
57,114,1.900000,-0.00468264206636,0.000204039803126,-0.000255312519192,-0.00778970439384,-0.0087914798692,-0.00342868026167,-0.0234250940446,-0.00521644124444,0.00180796722215,-0.0280400849859,-0.00920966375849,-0.0227722341871,-0.0502023982675,-0.0126771764827,-0.00118225110101,-0.0526174495908,0.013972778123,-0.0445561002987
58,116,1.933333,-0.00549254597438,2.34480787691e-05,-0.000195901203728,-0.00875488178176,-0.00909117651273,-0.00421290827838,-0.0250810297309,-0.00558056868244,0.00174169015814,-0.0297616635892,-0.00874213140437,-0.0241731372856,-0.0489231223032,-0.00900485764381,-0.002813843088,-0.0503930718929,0.0139788660836,-0.0391858157967
59,118,1.966667,-0.00635695504731,-0.000167109880061,-0.000139640896082,-0.00977617557299,-0.00937531890135,-0.00504072686181,-0.0266878271168,-0.00580907245931,0.00161837975346,-0.0313976850125,-0.00827974307564,-0.0253776388035,-0.0472618193488,-0.00455173484795,-0.00459671044042,-0.0474909152205,0.0136653373588,-0.0327969044587
60,120,2.000000,-0.00727401897558,-0.000362669348662,-8.85180156394e-05,-0.0108503498586,-0.00964425589644,-0.00590501735844,-0.0282330340178,-0.00587579651411,0.00143318589738,-0.0329254019217,-0.00783306754908,-0.0263523657281,-0.0452373029691,0.000685119352814,-0.00651832287558,-0.043905461641,0.0130393709953,-0.0254309109184
