time_s,qpos_J1_m,qpos_J2_m,qpos_J3_m,qpos_J4_rad,qpos_J5_rad,qpos_J6_rad,qvel_J1_ms,qvel_J2_ms,qvel_J3_ms,qvel_J4_rads,qvel_J5_rads,qvel_J6_rads,qacc_J1_ms2,qacc_J2_ms2,qacc_J3_ms2,qacc_J4_rads2,qacc_J5_rads2,qacc_J6_rads2
8.150000,-0.00382021850444,-0.00498614656587,-0.000613589204009,0.00162214431787,0.00534763997998,-0.0114586759578,0.0133312993023,0.0107737319661,0.00217714940718,0.00287745147826,-0.0310690786762,0.0112906463657,0.0110650915418,-0.00168184321962,-0.00221119330655,-0.00724766427377,0.0507204687924,0.0746709328659
8.166667,-0.00359632940136,-0.00480657092177,-0.000577567021124,0.00166913970245,0.00483617463165,-0.0112600343408,0.0134780666834,0.010736333382,0.00213736666252,0.00275069861836,-0.0301957325985,0.012491281995,0.00655528198033,-0.00279478025121,-0.00254955495295,-0.00792941148655,0.0538606327865,0.069159063715
8.183333,-0.00337060795999,-0.00462777364033,-0.000542254692474,0.00171392623325,0.00433971413953,-0.0110421182717,0.0135514532456,0.0106805511332,0.00209219536783,0.00261296506568,-0.0292722666905,0.01359965431,0.00227540046409,-0.00388363486591,-0.00285683071263,-0.00856290487533,0.0567241559936,0.0636215217606
8.200000,-0.0031442468388,-0.00445005811348,-0.000507737871098,0.0017563273838,0.00385905650627,-0.0108064705832,0.0135553605432,0.0106068155811,0.00204214978038,0.00246506816555,-0.0283033293031,0.0146155201434,-0.00176722065751,-0.00494503309595,-0.00313359869928,-0.00914676829432,0.059307657111,0.058080423583
8.216667,-0.0029183726006,-0.00427372008372,-0.00047409370927,0.001796180455,0.00339492171971,-0.0105546351134,0.0134938016603,0.0105156124409,0.00198773380192,0.00230784651325,-0.0272936147798,0.0155390004335,-0.00556655066176,-0.00597572027624,-0.00338052048389,-0.00967983285724,0.0616090050195,0.052557258719
8.233333,-0.00269404403141,-0.00409904673728,-0.000441391042764,0.00183333690081,0.00294795115853,-0.010288150719,0.0133708795882,0.0104074806546,0.00192943963116,0.00214215646105,-0.0262478427267,0.0163705690824,-0.00911784660076,-0.00697257710951,-0.00359833559024,-0.0101611407071,0.0636273009224,0.0470728098076
8.250000,-0.00247225081813,-0.00392631583522,-0.000409690596823,0.00186766259509,0.0025187073412,-0.0100085454841,0.0131907658813,0.0102830100025,0.00186774650939,0.00196886857062,-0.0251707376257,0.0171110405229,-0.0124176338792,-0.00793263497103,-0.00378785584133,-0.0105899477961,0.0653628552743,0.0416470777169
8.266667,-0.00225391257957,-0.00375579488632,-0.000379045212288,0.00189903803902,0.00210767401186,-0.00971733114831,0.0129576796822,0.0101428384654,0.00180311956149,0.00178886402734,-0.0240670088736,0.0177615560782,-0.0154636814714,-0.00885309036534,-0.00394995958616,-0.0109657256625,0.066817159685,0.0362992119241
8.283333,-0.00203987824395,-0.00358774036606,-0.000349500090267,0.00192735850828,0.00171525655526,-0.00941599777038,0.0126758672032,0.00998764935413,0.00173600873422,0.00160303103342,-0.022941331332,0.0183235692057,-0.0182549720098,-0.00973131845236,-0.00408558583527,-0.011288162196,0.0679928539979,0.0310474463913
8.300000,-0.00183092576457,-0.00342239698535,-0.000321093053699,0.0019525341401,0.00134178273164,-0.00910600864807,0.0123495817495,0.00981816822065,0.00166684783286,0.00141226119668,-0.0217983264651,0.0187988297169,-0.0207916669965,-0.0105648855663,-0.00419572833402,-0.0115571613888,0.0688936887703,0.0259090411492
8.316667,-0.00162776216385,-0.00325999701256,-0.000293854824181,0.00197448996002,0.000987503721065,-0.0087887955088,0.0119830643603,0.00963515956965,0.00159605365717,0.00121744593194,-0.0206425441402,0.0191893670718,-0.02307506741,-0.0113515606567,-0.00428142960145,-0.0117728420737,0.069524483396,0.0209002297694
8.333333,-0.00143102389496,-0.00310075965188,-0.000267809312389,0.00199316584883,0.000652595465548,-0.00846575398631,0.0115805251458,0.00943942338829,0.00152402523701,0.00101947289194,-0.0194784451627,0.0194974728457,-0.0251075699956,-0.0120893255878,-0.00434377496236,-0.0119355356586,0.0698910801306,0.0160361728737
